target,difficulty,success,time,iteration,nodes,
hanging_exp_bag_5_hce,easy,0.12,3.002479281425476,4.39,579.76,
target,difficulty,success,time,iteration,nodes,
hanging_exp_daily_5_hce,easy,0.03,3.0840243983268736,18.92,819.19,
target,difficulty,success,time,iteration,nodes,
hanging_exp_mug_59_hce,easy,0.29,3.753413345813751,6.72,460.38,
target,difficulty,success,time,iteration,nodes,
hanging_exp_scissor_4_hce,easy,0.06,5.153291397094726,41.36,1395.18,
target,difficulty,success,time,iteration,nodes,
hanging_exp_wrench_1_hce,easy,0.01,4.797553613185882,12.28,964.1,
target,difficulty,success,time,iteration,nodes,
Hook_bar,easy,0.18,2.4741944527626036,8.92,711.11,
target,difficulty,success,time,iteration,nodes,
Hook_60,easy,0.04,3.015547933578491,16.77,613.97,
target,difficulty,success,time,iteration,nodes,
Hook_skew,easy,0.21,3.9820117259025576,17.3,835.98,
target,difficulty,success,time,iteration,nodes,
Hook_90,easy,0.08,6.523058588504791,22.19,1115.6,
target,difficulty,success,time,iteration,nodes,
Hook_180,easy,0.0,3.7959493350982667,18.49,941.95,
target,difficulty,success,time,iteration,nodes,
hanging_exp_bag_5_hce,medium,0.09,3.3135894203186034,5.7,642.04,
target,difficulty,success,time,iteration,nodes,
hanging_exp_daily_5_hce,medium,0.02,2.3714597272872924,14.18,679.73,
target,difficulty,success,time,iteration,nodes,
hanging_exp_mug_59_hce,medium,0.32,6.243313100337982,17.67,737.14,
target,difficulty,success,time,iteration,nodes,
hanging_exp_scissor_4_hce,medium,0.04,5.983530416488647,41.11,1516.77,
target,difficulty,success,time,iteration,nodes,
hanging_exp_wrench_1_hce,medium,0.03,5.015644772052765,10.98,992.3,
target,difficulty,success,time,iteration,nodes,
Hook_bar,medium,0.16,2.6780103850364685,9.36,745.71,
target,difficulty,success,time,iteration,nodes,
Hook_60,medium,0.11,5.67561224937439,27.66,900.03,
target,difficulty,success,time,iteration,nodes,
Hook_skew,medium,0.14,4.010969541072845,13.91,851.84,
target,difficulty,success,time,iteration,nodes,
Hook_90,medium,0.06,6.783025531768799,24.99,1216.32,
target,difficulty,success,time,iteration,nodes,
Hook_180,medium,0.03,3.779919729232788,13.72,854.08,
target,difficulty,success,time,iteration,nodes,
hanging_exp_bag_5_hce,hard,0.12,3.6440434432029725,6.25,691.99,
target,difficulty,success,time,iteration,nodes,
hanging_exp_daily_5_hce,hard,0.01,2.1847692799568175,14.58,655.04,
target,difficulty,success,time,iteration,nodes,
hanging_exp_mug_59_hce,hard,0.19,7.010484912395477,13.96,836.53,
target,difficulty,success,time,iteration,nodes,
hanging_exp_scissor_4_hce,hard,0.03,12.325637636184693,46.05,1865.75,
target,difficulty,success,time,iteration,nodes,
hanging_exp_wrench_1_hce,hard,0.01,6.114557175636292,16.96,1162.01,
target,difficulty,success,time,iteration,nodes,
Hook_bar,hard,0.18,2.7403088188171387,10.22,764.83,
target,difficulty,success,time,iteration,nodes,
Hook_60,hard,0.1,13.855151624679566,36.68,1617.02,
target,difficulty,success,time,iteration,nodes,
Hook_skew,hard,0.05,3.95883270740509,10.07,824.38,
target,difficulty,success,time,iteration,nodes,
Hook_90,hard,0.02,6.945203914642334,25.86,1155.54,
target,difficulty,success,time,iteration,nodes,
Hook_180,hard,0.01,3.779995381832123,14.97,849.55,
